UNCLEAN_TEXT,EMOTION,CLEAN_TEXT,letter_count,sentence_count,avg_letter_per_word,words_per_sentence,avg_syllables_per_word,reading_time,fernandez_huerta,szigriszt_pazos,gutierrez_polini,punctuation_per_word,exclamation_per_word,question_per_word,mean_verbs_per_word,mean_auxiliaries_per_word,mean_auxiliaries_per_sentence,flesch_portuguese,uppercase_percentage,mean_unique_word_length,mean_char_repetition_per_word,sim_emotion_tristeza,sim_emotion_otimismo,sim_emotion_desprezo,sim_emotion_alegria,sim_emotion_raiva,sim_emotion_agressividade,sim_emotion_submissão,sim_emotion_nojo,sim_emotion_medo,sim_emotion_decepção,sim_emotion_amor,sim_emotion_remorso,sim_emotion_confianca,sim_emotion_antecipacao,sim_emotion_surpresa,sim_emotion_intimidação
"͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏
que júbilo incalculável ver todos os
meus queridos que prestaram o ano
passado do enem alcançando metas.
͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏",alegria,que jubilo incalculavel ver todo meu querido que prestar ano passado enem alcancar meta,87.0,1.0,5.117647058823529,17.0,2.0,1.52776,69.5,65.23500000000001,39.60882352941178,0.030303030303030304,0.0,0.0,0.17647058823529413,0.0,0.0,117.49818181818182,0.0,5.266666666666667,0.0,0.23455695807933807,0.2918333411216736,0.2229202538728714,0.3091203272342682,0.20143847167491913,0.2334628850221634,0.25760048627853394,0.2182142436504364,0.22210101783275604,0.2589617967605591,0.27396875619888306,0.2179369181394577,0.2424946278333664,0.24836306273937225,0.22273722290992737,0.18395426869392395
". 𝘀𝗮𝗽𝗼𝗻𝘁𝗮𝗺𝗲𝗻𝘁𝗼𝗶
Senhor, arranca do meu coração qualquer tipo de desapontamento para contigo. Que eu aprenda a ver que tudo o que fazes, mesmo quando não me atendes, é para o meu próprio bem. Eu confesso: eu não sei pedir.",decepção,sapontamentoir senhor arrancar meu coracao qualquer tipo desapontamento para contigo que aprenda ver que tudo que fazes mesmo quando nao atendes para meu proprio bem confessar nao saber pedir,174.0,3.0,4.461538461538462,13.0,1.6666666666666667,2.67358,93.58,90.00166666666668,47.37307692307693,0.2,0.0,0.0,0.23076923076923078,0.02564102564102564,0.25,95.13333333333333,0.017241379310344827,4.666666666666667,0.0,0.39789092540740967,0.32877659797668457,0.3951698839664459,0.3087041676044464,0.3422605097293854,0.4158846437931061,0.49125343561172485,0.38142189383506775,0.38855433464050293,0.4603732228279114,0.4013826251029968,0.44585809111595154,0.3801257014274597,0.31321224570274353,0.2989334464073181,0.3205747902393341
"A franquia continua ativa, com o desenvolvimento do segundo jogo, embora o público tenha demonstrado um leve desapontamento pela falta de novidades relacionadas à sequência no último The Game Awards.",decepção,franquia continuar ativo com desenvolvimento jogo embora publico ter demonstrar leve desapontamento por o falta novidade relacionar sequencia ultimo the game awards,167.0,1.0,5.566666666666666,30.0,2.3666666666666667,2.4972999999999996,34.24,29.39166666666668,30.70333333333334,0.1,0.0,0.0,0.1,0.03333333333333333,1.0,24.400000000000006,0.023952095808383235,5.8076923076923075,0.0,0.08094538003206253,0.10592043399810791,0.1212785392999649,0.05137227848172188,0.10655879974365234,0.09651623666286469,0.05129285529255867,0.019359473139047623,0.04955696314573288,0.09894660860300064,0.0407794788479805,0.0674833208322525,0.027425294741988182,0.11007313430309296,0.10295157134532928,0.12255421280860901
"Alessandro Barcellos, candidato a presidente do Inter, sobre renovação com Eduardo Coudet:
“Se necessário vamos a Buenos Aires para cuidar disso. Tenho convicção que com a nossa vitória, Coudet permanece.”",confianca,alessandro barcellos candidato presidente inter sobre renovacao com eduardo coudet necessario ir buenos aires para cuidar de isso ter conviccao que com nosso vitoria coudet permanecer,168.0,2.0,5.6,15.0,2.2666666666666666,2.58544,55.540000000000006,50.6216666666667,35.63000000000001,0.2,0.0,0.0,0.13333333333333333,0.06666666666666667,0.5,47.20000000000002,0.05952380952380952,6.0,0.0,0.14879930019378662,0.23988604545593262,0.1501849740743637,0.16471664607524872,0.1360379010438919,0.16003504395484924,0.25061309337615967,0.1128273457288742,0.16416624188423157,0.2016495168209076,0.16788272559642792,0.15860119462013245,0.23176005482673645,0.1883229911327362,0.15356265008449554,0.14065487682819366
"AVANTE PALESTRA E as contratações do Palmeiras Parece que já acabaram, não tem negociações em andamento Gostaria de ganhar o dinheiro que Anderson Barros ganha, pra não fazer nada já tem alguns anos que ele faz isso.subordinado de Leila Pereira.
Pobre Abel",submissão,avante palestra contratacoes palmeira parecer que acabar nao ter negociacoe andamento gostar ganhar dinheiro que anderson barros ganhar pra nao fazer nada ter algum ano que ele fazer isso subordinar leila pereira pobre abel,211.0,2.0,5.023809523809524,21.0,1.9761904761904763,3.15835,66.84857142857142,62.71833333333335,39.11904761904763,0.09523809523809523,0.0,0.0,0.21951219512195122,0.04878048780487805,0.6666666666666666,61.87428571428572,0.11374407582938388,5.0,0.0,0.22243638336658478,0.22727198898792267,0.19723878800868988,0.1972358524799347,0.20634779334068298,0.21001458168029785,0.22639958560466766,0.12107337266206741,0.16009120643138885,0.21904294192790985,0.15216845273971558,0.17779572308063507,0.2120673954486847,0.23551246523857117,0.19760699570178986,0.17402467131614685
"baralho das bruxas diz para: Áries, Leão e Sagitário
Gêmeos, Libra e Aquário Não tenha medo de mudanças ou de novas fases da sua vida, voce preciso se jogar mais na sua vida amorosa e entender que não é porque lá no passado você teve uma desilusão amorosa que",decepção,baralho de o bruxa dizer para aries leao sagitario gemeo libra aquario nao ter medo mudanca novo fase seu vida voce preciso jogar mais seu vida amoroso entender que nao porque passado voce ter um desilusao amoroso que,207.0,1.0,4.224489795918367,49.0,1.7755102040816326,3.0995899999999996,50.32938775510205,47.220714285714294,37.07244897959185,0.08163265306122448,0.0,0.0,0.12244897959183673,0.061224489795918366,1.0,47.20326530612245,0.033816425120772944,4.421052631578948,0.0,0.2695704400539398,0.27395305037498474,0.26307839155197144,0.24672465026378632,0.23701047897338867,0.25916844606399536,0.28047969937324524,0.24528810381889343,0.2584769129753113,0.3135088086128235,0.3044116497039795,0.2807278037071228,0.2162533700466156,0.20862311124801636,0.2479700744152069,0.20945428311824799
"Bom Dia Alexia, obrigado por voltar com minha alegria em te desejar Bom Dia todo dia Anos de amor foram esquecidos no ódio de um minuto[Edgar Allan Poe, 1809-1849]",raiva,bom dia alexia obrigar por voltar com meu alegria desejar bom dia todo dia ano amor ser esquecir odio minuto edgar allan poe,130.0,1.0,4.482758620689655,29.0,1.6206896551724137,1.98315,80.01862068965518,76.86603448275864,41.56724137931035,0.1724137931034483,0.0,0.0,0.14814814814814814,0.037037037037037035,0.5,79.15034482758622,0.07377049180327869,4.333333333333333,0.0,0.3205485939979553,0.26007822155952454,0.2590160667896271,0.34593525528907776,0.2278071641921997,0.251822292804718,0.2780936062335968,0.24242626130580902,0.28970667719841003,0.3089629113674164,0.3117857575416565,0.29407384991645813,0.16317330300807953,0.2741391360759735,0.26233869791030884,0.1687447875738144
"Bom Dia Anna
Anos de amor foram esquecidos no ódio de um minuto[Edgar Allan Poe, 1809-1849]
Muito graciosa essa depil Gosti!!!",raiva,bom dia anna ano amor ser esquecir odio minuto edgar allan poe muito gracioso esse depil gosti,99.0,1.0,4.714285714285714,21.0,1.8095238095238095,1.55714,76.84857142857143,73.10166666666667,42.121428571428574,0.3333333333333333,0.14285714285714285,0.0,0.05263157894736842,0.05263157894736842,0.3333333333333333,73.87428571428572,0.0989010989010989,4.375,0.047619047619047616,0.28037136793136597,0.1974385529756546,0.2845565378665924,0.2862951159477234,0.25577855110168457,0.2623250186443329,0.21145348250865936,0.27774128317832947,0.2739395499229431,0.26897114515304565,0.26770737767219543,0.290264755487442,0.12896302342414856,0.24021193385124207,0.2597462236881256,0.18029358983039856
"Bom Dia estilosa Hot Cristina Anos de amor foram esquecidos no ódio de um minuto[Edgar Allan Poe, 1809-1849]",raiva,bom dia estiloso hot cristina ano amor ser esquecir odio minuto edgar allan poe,87.0,1.0,4.833333333333333,18.0,1.7777777777777777,1.33679,81.81333333333335,78.07944444444446,42.01666666666668,0.2222222222222222,0.0,0.0,0.0625,0.0625,0.5,79.28,0.10126582278481013,4.5,0.0,0.2835608422756195,0.18512561917304993,0.28737106919288635,0.2597528100013733,0.24081189930438995,0.24690043926239014,0.20013968646526337,0.2772156596183777,0.28875958919525146,0.2835955023765564,0.27505040168762207,0.28703203797340393,0.09130838513374329,0.22706227004528046,0.25852277874946594,0.20473913848400116
estou com um mau pressentimento lui mas obrigada,antecipacao,estar com mau pressentimento lui mas obrigar,41.0,1.0,5.125,8.0,1.875,0.60229,86.18,82.02250000000001,42.68750000000001,0.0,0.0,0.0,0.125,0.125,1.0,82.68,0.0,5.125,0.0,0.3439539670944214,0.33892518281936646,0.3492499887943268,0.3427082896232605,0.2979833781719208,0.38664233684539795,0.460333913564682,0.36183419823646545,0.34857627749443054,0.39906638860702515,0.35845693945884705,0.39742550253868103,0.37963560223579407,0.3323158621788025,0.31393977999687195,0.2949316203594208
